linetype,characterID,characterName,transactTime,transactionID,transactionType,stationID,stationName,clientID,clientName,typeID,typeName,quantity,price,transactionFor
TRADE,90192277,Gynax Gallenor,2011-04-06 01:46:00,1776312493,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1236602145,LonePaws,31360,Medium Ancillary Current Router I,2,5699991.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:52:00,1776316143,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1236602145,LonePaws,31360,Medium Ancillary Current Router I,1,5699991.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:58:00,1776320170,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,260844892,MAPUHO4KA,31360,Medium Ancillary Current Router I,1,5699992.00,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 02:08:00,1776326499,buy,60011920,Oursulaert VII - Moon 4 - Federal Intelligence Office Testing Facilities,573789000,Zadaka,230,Antimatter Charge M,8733,27.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 02:13:00,1776330137,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1197180118,Krohnan,1978,Tracking Computer II,2,952001.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 02:23:00,1776337052,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1509733736,AllenthatGuy1,3540,Large Armor Repairer II,1,1291112.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 02:27:00,1776339663,buy,60009682,Vylade IV - Moon 16 - Astral Mining Inc. Mineral Reserve,2013925786,Joel Stroetzel,655,Iteron Mark III,1,367065.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 02:43:00,1776349628,buy,60015013,Odotte III - University of Caille School,90541691,Sean Lukas,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 02:50:00,1776354388,buy,60003568,Stetille IX - Moon 7 - Caldari Business Tribunal,1793334122,Britzban,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 02:55:00,1776357018,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90583845,Cirkee Savari,3332,Gallente Cruiser,1,464999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 03:03:00,1776361884,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,316997152,Scyntex,2333,Survey Scanner II,1,650927.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 03:09:00,1776366479,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90595245,Major Rachel Maddow,627,Thorax,1,5820058.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 03:11:00,1776367387,buy,60011854,Mirilene IV - Moon 1 - Federation Navy Logistic Support,263756999,Admiral Kandros,12099,Battlecruisers,1,710020.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 03:22:00,1776374773,buy,60011857,Pucherie VI - Moon 11 - Federation Navy Testing Facilities,1047348077,Kazzic Dalyinn,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 03:26:00,1776377664,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,2038971854,Thonawit,3540,Large Armor Repairer II,1,1291112.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 03:54:00,1776394796,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90380657,zlayer moh,31360,Medium Ancillary Current Router I,1,4800010.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 04:15:00,1776407537,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90572624,Asrien Smarte,31117,Small Cargohold Optimization I,2,669989.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 04:48:00,1776426165,buy,60011680,Brapelille IX - Moon 18 - Federal Administration Information Center,90250647,Nyrmar,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 05:32:00,1776449096,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90494756,Maxwell Mayhem,24700,Myrmidon,1,31979589.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 05:47:00,1776456422,buy,60011983,Auvergne V - Moon 5 - Federal Intelligence Office Assembly Plant,682181680,Hambron,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 05:58:00,1776462383,buy,60009421,Brapelille IV - Moon 2 - Federal Freight Storage,90496403,Brock Kingslayer,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 07:35:00,1776513133,buy,60011851,Fricoure VIII - Moon 2 - Federation Navy Assembly Plant,90570683,Enoch Root Cryptos,3454,High Speed Maneuvering,3,160010.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 08:09:00,1776529019,sell,60011848,Vittenyn VI - Moon 13 - Federation Navy Assembly Plant,791504044,D'Lorn Kajarn,656,Iteron Mark IV,1,700000.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 08:16:00,1776532569,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1919946830,Khando Khan,627,Thorax,1,5820058.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 08:22:00,1776535685,buy,60011983,Auvergne V - Moon 5 - Federal Intelligence Office Assembly Plant,1795016047,Jonmelis,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 08:42:00,1776545457,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,958466897,milom,11200,Taranis,1,12560012.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 19:00:00,1776558166,buy,60009676,Agrallarier VIII - Moon 3 - Astral Mining Inc. Refinery,191226107,snope,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 19:08:00,1776561524,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90548262,Nysas Valk,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 19:38:00,1776580683,buy,60010351,Jel I - Roden Shipyards Warehouse,720657635,Captain Zao,655,Iteron Mark III,1,367065.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 19:39:00,1776581501,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90494239,Victrix Solette,627,Thorax,1,5820058.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 19:52:00,1776590706,buy,60012040,Misneden IV - Moon 2 - Federation Customs Testing Facilities,90571079,Corpus Callosum Amatin,17940,Mining Barge,1,155010.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 20:06:00,1776601169,buy,60005617,Deltole III - Moon 1 - Core Complexion Inc. Warehouse,90422761,Gesar Soulcaptor,223,Iron Charge M,300,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 20:49:00,1776638409,buy,60003556,Pozirblant VIII - Moon 2 - Caldari Business Tribunal Information Center,90491749,Peter Kion,223,Iron Charge M,55,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 20:59:00,1776647399,buy,60011566,Bourynes VII - Moon 2 - University of Caille School,90572912,james kilcoyne,655,Iteron Mark III,1,367065.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:09:00,1776655570,buy,60010582,Pulin V - Moon 8 - Egonics Inc. Development Studio,90198435,Bummper,652,Mammoth,1,789002.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:25:00,1776670154,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90390894,Traya Anylis,20,Kernite,6819,158.05,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:28:00,1776673452,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1289646216,DreadNaught 723,2048,Damage Control II,1,610081.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:30:00,1776674780,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,302084400,QuiLeto Kyja,5683,Medium Inefficient Hull Repair Unit,1,150000.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:36:00,1776680708,buy,60011566,Bourynes VII - Moon 2 - University of Caille School,635720028,Kouval,2032,Cap Recharger II,3,527111.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:37:00,1776681472,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,108115856,virxens,2048,Damage Control II,1,610081.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:43:00,1776686858,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,108115856,virxens,626,Vexor,1,3202008.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:52:00,1776694988,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,477754937,Aaliane,3540,Large Armor Repairer II,1,1291113.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 21:57:00,1776699056,buy,60015013,Odotte III - University of Caille School,932541023,Mace Walerian,3307,Large Hybrid Turret,1,1050052.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 22:07:00,1776707832,buy,60011983,Auvergne V - Moon 5 - Federal Intelligence Office Assembly Plant,90571128,Castor Wonderush,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 22:09:00,1776709531,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90247385,GregAlex,11105,Magnetic Vortex Stabilizer I,1,430003.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 22:58:00,1776728297,buy,60011851,Fricoure VIII - Moon 2 - Federation Navy Assembly Plant,936717605,Calligular,2048,Damage Control II,3,522103.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 23:23:00,1776738855,buy,60011848,Vittenyn VI - Moon 13 - Federation Navy Assembly Plant,309549708,Tough Won,37,Isogen,6,73.50,personal
